ID,Lake,Date,Site,Gear,Gear Type,Standard,Net nights,Depth,american eel,banded killifish,black crappie,blueback herring,bluegill,bowfin,brown bullhead,burbot,chain pickerel,channel catfish,Cisco,Common carp,darter,emerald shiner,freshwater drum,gizzard shad,golden shiner,green sunfish,largemouth bass,largemouth bass YOY,Lepomis YOY,logperch,longnose gar,northern pike,pumpkinseed,redhorse,rock bass,round goby,smallmouth bass,smallmouth bass YOY,spottail shiner,walleye,walleye YOY,white bass,white perch,white sucker,yellow bullhead,yellow perch,yellow perch YOY,Other,Latitude,Longitude,Crew,Comments
54994746,Oneida Lake,9/19/17,Bushnell Point,TN,stdfyke1,fyke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,5,0,0,43.16183333,-75.81788333,Brooking,
54994747,Oneida Lake,9/19/17,Bushnell Point,TN,stdfyke2,fyke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,47,0,1,0,0,0,0,0,0,0,2,0,0,43.16183333,-75.81788333,Brooking,
54994748,Oneida Lake,9/19/17,Chapman Park,TN,stdfyke1,fyke,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,18,0,4,1,0,0,0,1,0,0,2,0,0,7,0,0,43.15701667,-75.8922,Brooking,
54994749,Oneida Lake,9/19/17,Chapman Park,TN,stdfyke2,fyke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,5,19,0,4,0,0,0,0,0,0,0,3,3,0,43.15701667,-75.8922,Brooking,
54994750,Oneida Lake,9/19/17,South Bay Sailboat Marina,TN,stdfyke1,fyke,1,1,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,43,0,1,0,0,24,0,1,1,0,6,0,0,113,0,1 satinfin shiner,43.16551667,-75.75975,Brooking,
54994751,Oneida Lake,9/19/17,South Bay Sailboat Marina,TN,stdfyke2,fyke,1,1,0,11,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,728,3,0,0,1,0,3,28,0,1,0,0,0,0,0,0,5,0,19,0,43.16551667,-75.75975,Brooking,
54994752,Oneida Lake,9/20/17,Godfrey Point,TN,stdfyke1,fyke,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,3,0,0,4,0,0,1,0,11,0,0,21,0,0,43.22633333,-75.8576,Brooking,
54994753,Oneida Lake,9/20/17,Godfrey Point,TN,stdfyke2,fyke,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,527,1,0,0,1,0,3,20,0,1,1,0,0,0,3,0,0,0,6,1 bluntnose minnow,43.22633333,-75.8576,Brooking,
54994754,Oneida Lake,9/20/17,Jewell,TN,stdfyke1,fyke,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,2,0,4,0,1,0,0,1,0,0,18,0,0,43.22038333,-75.81223333,Brooking,
54994755,Oneida Lake,9/20/17,Jewell,TN,stdfyke2,fyke,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,48,0,0,0,0,0,4,132,0,1,0,0,0,0,1,0,1,1,1,0,43.22038333,-75.81223333,Brooking,
