Lake,Date,Site,Standard,Gear,Gear Type,walleye,yellow perch,brown bullhead,burbot,common carp,channel catfish,cisco,freshwater drum,golden shiner,gizzard shad,pumpkinseed,rock bass,redhorse sp.,smallmouth bass,lake sturgeon,white bass,white perch,northern pike,largemouth bass,bluegill,black crappie,white sucker,tiger muskellunge,chain pickerel,brown trout,rudd,yellow bullhead,longnose gar,round goby,Other,lat,long
Oneida Lake,6/8/17,Phillips Point,yes,gn,oneida,32,19,,,,,,,,,1,,,1,,,2,,,,,1,,,,,,,,,43.23166667,-76.04833333
Oneida Lake,6/14/17,Dakin Shoal,yes,gn,oneida,5,12,,,,,,,,,,,,,,,93,,,,,2,,,,,,,,,43.22148333,-75.96908333
Oneida Lake,6/20/17,Shackelton Point,yes,gn,oneida,14,77,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,43.17961667,-75.92885
Oneida Lake,6/27/17,Buoy 125,yes,gn,oneida,55,3,,,,,,,,1,,,,4,,,66,,,,,1,,,,,,,,,43.20308333,-75.94108333
Oneida Lake,7/6/17,Damon Point,yes,gn,oneida,42,80,,,,,,,,1,,1,,,,,,,,,,4,,,,,,,,,43.187,-75.9577
Oneida Lake,7/12/17,Dutchman Island,yes,gn,oneida,50,42,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,43.17021667,-75.91046667
Oneida Lake,7/18/17,Buoy 129,yes,gn,oneida,26,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.20616667,-75.97166667
Oneida Lake,7/26/17,Buoy 113,yes,gn,oneida,41,50,,,,,,1,,3,,,1,5,,,10,,,,,6,,,,,,,,,43.18621667,-75.81483333
Oneida Lake,8/1/17,Cleveland,yes,gn,oneida,56,51,,,,1,,2,,1,1,1,2,5,1,,11,,,,,6,,1,,,,,,,43.22866667,-75.89125
Oneida Lake,8/10/17,Jewel,yes,gn,oneida,28,48,1,,,,,1,,,,,,2,1,,44,,,,,3,,,,,,,,,43.21616667,-75.80996667
Oneida Lake,8/16/17,Buoy 133,yes,gn,oneida,8,12,1,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,43.22335,-76.05565
Oneida Lake,8/24/17,Lewis Point,yes,gn,oneida,12,16,,,,3,,2,,,,,,2,,,4,,,,,3,,,,,,,,,43.17455,-75.7837
Oneida Lake,8/31/17,Dunham Island,yes,gn,oneida,13,2,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,43.20803333,-76.0252
Oneida Lake,9/8/17,Willard Island,yes,gn,oneida,18,8,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,43.2335,-75.93683333
Oneida Lake,9/12/17,Bushnell Point,yes,gn,oneida,77,28,,,,1,,,,,,,,2,1,,11,,,,,,,,,,,,1,,43.16203333,-75.84458333
