ID,Lake,Date,Site,Gear,Gear Type,Standard,Haul Number,Tow Length,Day/Night,Species,Age Group,Number Caught,Latitude,Longitude,Crew,Comments
144666,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,bluegill,adult,2,43.18118333,-75.95891667,Brooking,
144667,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,brook silverside,all,1,43.18118333,-75.95891667,Brooking,
144668,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,emerald shiner,all,7,43.18118333,-75.95891667,Brooking,
144669,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,golden shiner,all,3,43.18118333,-75.95891667,Brooking,
144670,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,banded killifish,all,155,43.18118333,-75.95891667,Brooking,
144671,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,logperch,all,5,43.18118333,-75.95891667,Brooking,
144672,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,pumpkinseed,adult,1,43.18118333,-75.95891667,Brooking,
144673,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,rock bass,adult,1,43.18118333,-75.95891667,Brooking,
144674,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,round goby,all,19,43.18118333,-75.95891667,Brooking,
144675,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,smallmouth bass,yoy,8,43.18118333,-75.95891667,Brooking,
144676,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,yellow perch,yoy,682,43.18118333,-75.95891667,Brooking,
144677,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,yellow perch,adult,63,43.18118333,-75.95891667,Brooking,
144678,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,brown bullhead,adult,1,43.18093333,-75.95826667,Brooking,
144679,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,freshwater drum,adult,1,43.18093333,-75.95826667,Brooking,
144680,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,banded killifish,all,19,43.18093333,-75.95826667,Brooking,
144681,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,logperch,all,69,43.18093333,-75.95826667,Brooking,
144682,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,round goby,all,16,43.18093333,-75.95826667,Brooking,
144683,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,smallmouth bass,yoy,1,43.18093333,-75.95826667,Brooking,
144684,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,smallmouth bass,adult,4,43.18093333,-75.95826667,Brooking,
144685,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,yellow perch,yoy,170,43.18093333,-75.95826667,Brooking,
144686,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,yellow perch,adult,23,43.18093333,-75.95826667,Brooking,
144687,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,bluntnose minnow,all,1,43.18031667,-75.95905,Brooking,
144688,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,freshwater drum,adult,1,43.18031667,-75.95905,Brooking,
144689,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,banded killifish,all,21,43.18031667,-75.95905,Brooking,
144690,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,logperch,all,4,43.18031667,-75.95905,Brooking,
144691,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,pumpkinseed,adult,1,43.18031667,-75.95905,Brooking,
144692,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,round goby,all,71,43.18031667,-75.95905,Brooking,
144693,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,smallmouth bass,yoy,9,43.18031667,-75.95905,Brooking,
144694,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,smallmouth bass,adult,1,43.18031667,-75.95905,Brooking,
144695,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,spottail shiner,all,1,43.18031667,-75.95905,Brooking,
144696,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,shiner sp.,all,1,43.18031667,-75.95905,Brooking,
144697,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,walleye,yoy,2,43.18031667,-75.95905,Brooking,
144698,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,yellow perch,yoy,134,43.18031667,-75.95905,Brooking,
144699,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,yellow perch,adult,19,43.18031667,-75.95905,Brooking,
144700,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,bluegill,adult,1,43.17003333,-75.92338333,Brooking,
144701,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,emerald shiner,all,2,43.17003333,-75.92338333,Brooking,
144702,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,golden shiner,all,3,43.17003333,-75.92338333,Brooking,
144703,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,banded killifish,all,75,43.17003333,-75.92338333,Brooking,
144704,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,largemouth bass,adult,1,43.17003333,-75.92338333,Brooking,
144705,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,pumpkinseed,adult,7,43.17003333,-75.92338333,Brooking,
144706,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,rock bass,yoy,1,43.17003333,-75.92338333,Brooking,
144707,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,rock bass,adult,7,43.17003333,-75.92338333,Brooking,
144708,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,round goby,all,8,43.17003333,-75.92338333,Brooking,
