Site,black crappie,bluegill,bowfin,brook silverside,brown bullhead,burbot,chain pickerel,chubsucker,common carp,emerald shiner,fathead minnow,freshwater drum,gizzard shad,golden shiner,green sunfish,killifish,largemouth bass,lepomis,logperch,longnose gar,pumpkinseed,pumpkinseedXgreen sunfish,redhorse,rock bass,round goby,smallmouth bass,spottail shiner,trout-perch,unknown shiner,walleye,white perch,white sucker,yellow bullhead,yellow perch
Constantia run 1,0,0,0,0,0,0,0,0,0,32,0,4,0,0,0,0,4,0,12,0,0,0,0,12,0,0,0,0,0,4,0,0,0,140
Constantia run 2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0
Constantia run 3,0,0,0,0,4,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,24,0,0,0,28,4,4,0,4
Fisher Bay run 1,0,0,0,0,12,0,0,0,0,4,4,0,0,0,0,40,4,20,0,0,36,0,0,48,0,8,0,0,0,8,0,0,0,116
Fisher Bay run 2,0,0,6,0,0,0,2,0,0,0,0,4,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Fisher Bay run 3,0,0,0,0,20,0,0,0,0,0,0,0,32,8,0,40,4,4,0,4,36,0,0,8,8,0,0,0,0,20,0,0,0,196
Cleveland run 1,0,0,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,52,60,0,4,0,8,0,0,0,124
Cleveland run 2,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,39,0,0,0,0
Cleveland run 3,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,4,8,36,12,0,12,0,4,0,8,0,72
Poddygut Bay run 1,4,128,8,4,56,0,4,0,0,0,0,0,8,8,0,0,68,76,0,4,72,0,0,4,0,0,0,0,0,4,0,0,4,196
Poddygut Bay run 2,0,0,15,0,0,0,20,0,0,0,0,1,0,0,0,0,125,0,0,22,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Poddygut Bay run 3,0,72,0,0,24,0,0,4,12,0,0,0,8,4,0,4,44,84,0,4,252,0,0,8,4,0,0,0,0,0,0,0,0,204
Aero Marina run 1,0,72,0,0,4,0,0,0,0,4,0,0,0,0,0,0,8,0,32,0,20,0,0,164,24,84,0,0,0,0,0,0,0,92
Aero Marina run 2,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,50,0,0,5,0,0,0,0,0,8,0,0,0,9,0,0,0,0
Aero Marina run 3,0,72,0,4,12,0,0,0,8,0,0,4,4,8,0,4,0,8,4,0,32,12,0,72,0,0,0,0,0,4,0,0,4,80
Shackelton Point run 1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,4,0,36
Shackelton Point run 2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,3,0,0,0,22,0,0,0,0
Shackelton Point run 3,0,0,0,0,8,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,8,0,0,12,4,0,0,0,0,0,0,0,0,148
South Bay Sailboat Marina run 1,0,0,0,4,96,4,12,0,4,4,0,0,16,0,8,4,20,0,0,0,24,0,0,20,4,4,0,0,0,12,0,0,0,292
South Bay Sailboat Marina run 2,0,0,1,0,0,0,6,0,0,0,0,2,0,0,0,0,28,0,0,3,0,0,0,0,0,7,0,0,0,28,0,0,0,0
South Bay Sailboat Marina run 3,0,36,4,0,44,0,0,0,8,4,0,0,48,0,0,4,8,20,0,4,44,0,0,12,8,8,0,0,4,8,0,4,0,204
Jewell run 1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,32,0,8,0,0,8,12,0,12,0,0,0,0,0,0,132
Jewell run 2,0,0,1,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,25,0,0,0,0
Jewell run 3,0,0,8,0,16,4,0,0,0,0,0,0,4,16,0,0,8,0,4,0,12,4,0,8,20,0,0,0,0,16,0,0,0,264
