"species","historical","eDNA","ef","fyke","gillnet","seine"
"lake.sturgeon",1,0.480072555754582,0,0,3,0
"blueback.herring",1,0,0,0,0,0
"alewife",1,0.417344012548833,0,0,0,0
"rock.bass",1,34.4629852588256,388,101,2,171
"yellow.bullhead",1,0.11197765548378,8,32,0,0
"brown.bullhead",1,36.4397918535764,320,24,2,9
"bowfin",1,17.0940429580886,50,7,0,0
"American.eel",1,0,0,0,0,0
"freshwater.drum",1,251.324732160748,62,10,7,3
"central.stoneroller",1,0,0,0,0,0
"goldfish",1,0,0,0,0,0
"longnose.sucker",1,0,0,0,0,0
"white.sucker",1,5.87642520173972,20,5,27,40
"redside.dace",1,0,0,0,0,0
"cisco",1,0,0,0,0,0
"mottled.sculpin",1,0,0,0,0,0
"slimy.sculpin",1,0,0,0,0,0
"brook.stickleback",1,0.782168568574549,0,0,0,0
"satinfin.shiner",1,0,0,1,0,1
"spotfin.shiner",1,0,0,0,0,0
"common.carp",1,1204.34419845786,32,0,0,1
"American.gizzard.shad",1,348.284542447996,120,57,14,117
"creek.chubsucker",1,0.893501244922378,4,4,0,0
"northern.pike",1,8.61139791917496,0,0,0,0
"tiger.musky",1,0,0,0,0,0
"chain.pickerel",1,20.6426338570857,60,3,1,1
"Iowa.darter",0,0,0,0,0,0
"fantail.darter",1,3.1543085761012,0,0,0,0
"tessellated.darter",1,1.81500291530739,0,0,0,0
"cutlips.minnow",1,0,0,0,0,0
"banded.killifish",1,16.2630468992005,100,89,0,1435
"brassy.minnow",1,0,0,0,0,27
"eastern.silvery.minnow",1,0,0,0,0,0
"northern.hogsucker",1,0.479595541196681,0,0,0,0
"channel.catfish",1,2.5296921759332,0,0,5,0
"brook.silverside",1,2.40068443598592,12,0,0,5
"longnose.gar",1,0,53,0,0,2
"green.sunfish",1,1.30364181266285,8,12,0,2
"pumpkinseed",1,89.9318734148017,548,287,2,175
"bluegill",1,29.5831248132428,380,234,0,23
"northern.sunfish",0,0,0,0,0,0
"burbot",1,0.857808479947884,20,2,0,0
"common.shiner",1,0,0,0,0,0
"pearl.dace",1,0,0,0,0,0
"smallmouth.bass",1,35.2985613629097,236,81,24,93
"largemouth.bass",1,23.3759436678625,395,45,0,61
"white.perch",1,21.363319643952,4,84,250,254
"white.bass",1,0,0,0,0,0
"shorthead.redhorse",1,0,0,0,0,0
"greater.redhorse",1,13.8638628190806,0,0,0,0
"round.goby",1,101.917061029102,172,537,1,983
"hornyhead.chub",1,0,0,0,0,0
"golden.shiner",1,2.36619050161969,48,2,0,430
"emerald.shiner",1,28.0212504555571,52,32,0,109
"bridle.shiner",0,0,0,0,0,0
"bigmouth.shiner",0,0,0,0,0,0
"blackchin.shiner",0,0,0,0,0,0
"blacknose.shiner",1,0.235642155143389,0,0,0,0
"rosyface.shiner",1,0,0,0,0,0
"sand.shiner",1,0,0,0,0,0
"spottail.shiner",1,0.111913817262024,12,5,0,24
"stonecat",1,0,0,0,0,0
"tadpole.madtom",0,0,0,0,0,0
"margined.madtom",1,0,0,0,0,0
"brindled.madtom",0,0,0,0,0,0
"rainbow.trout",1,0,0,0,0,0
"yellow.perch",1,330.696513400258,2300,600,463,7439
"logperch",1,0,108,16,0,522
"blackside.darter",1,0,0,0,0,0
"trout.perch",1,5.13408232253681,16,0,0,0
"sea.lamprey",1,0,0,0,0,0
"bluntnose.minnow",1,0,0,6,0,73
"fathead.minnow",1,0,4,0,0,1
"white.crappie",0,0,0,0,0,0
"black.crappie",1,0,4,66,0,0
"blacknose.dace",1,0.118582725512238,0,0,0,0
"longnose.dace",1,0.242229724615082,0,0,0,0
"Atlantic.salmon",1,0,0,0,0,0
"brown.trout",1,0,0,0,0,0
"brook.trout",1,0,0,0,0,0
"walleye",1,94.0462754646812,270,22,477,7
"rudd",1,0,0,0,0,0
"creek.chub",1,0.302432820698701,0,0,0,0
"fallfish",1,0,0,0,0,0
"central.mudminnow",1,3.73018693219333,0,0,0,0
"shortnose.gar",0,113.041951858735,0,0,0,0
