"","23Y","24Y","25Y","26Y","BL1","BL2","BL3","1BL","1G","2G","3G","4G","5G","6G","7G","8G","9G","10G","11G","12G","13G","14G","15G","16G","17G","18G","19G","20G","21G","22G","23G","24G","25G","26G","27G"
"aimara;Moenkhausia cosmops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"alewife",0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,10685,0,0,0,148,21,0,0,0,0,0,0,0,0
"AMBIGUOUS",1508,0,25955,4490,0,0,0,0,26504,55102,6431,12299,9325,1651,661,628,809,704,516,12,3585,205854,19044,2572,4109,1527,2614,4021,1179,4541,524,1091,84042,47013,11
"Ambloplites rupestris",31449,3762,0,7755,0,0,0,0,0,36136,7604,15495,4383,2453,588,55,512,1801,212,0,0,95627,56351,5,14997,273,28,947,0,5391,4766,1338,5230,65619,0
"American beaver",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"American eel",0,0,0,0,0,0,0,0,0,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American gizzard shad",19,67807,84271,14376,0,0,0,0,391587,228160,369827,319032,226548,67892,69955,50631,2263,26603,2284,10,282663,29890,79720,10064,9132,3060,680,4481,1428,14086,9326,100201,282676,53937,8
"Amur carp",0,226,669,0,0,0,0,0,886,3068,1082,0,413,0,0,0,0,0,0,0,0,0,1859,868,681,299,485,688,0,0,0,0,2737,1951,0
"arapaima",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"banded killifish",58388,0,2257,1504,0,0,0,0,4,6,50549,516,181,0,1784,2,515,0,0,4,71198,7076,13128,3,0,36,10,1736,0,5,4284,2081,15420,9498,0
"bigscale logperch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
"black bullhead",0,76,0,0,0,0,0,0,0,0,634,0,0,26,123,0,0,0,0,0,0,0,0,0,116,0,0,0,82,0,0,0,0,0,0
"black crappie",0,0,0,0,0,0,0,0,0,0,2081,0,253,48,0,0,0,0,0,0,0,0,0,0,160,150,0,0,0,30,0,0,0,0,0
"black ghost",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
"blacknose dace",0,0,0,0,0,0,0,0,0,0,0,513,0,33,0,0,0,116,0,0,0,3036,0,0,0,0,0,0,0,0,0,0,0,0,0
"blacknose shiner",0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,6033,0,0,0,0,0,0,0,0,0,0,0,0,0
"blacktip jumprock",0,0,21537,0,0,0,0,0,10,10624,758,1744,743,322,3195,0,0,2013,89,0,10,519,1336,0,0,0,0,0,0,208,0,0,166637,1445,11
"bluegill",0,0,0,0,0,0,0,0,0,0,16178,518,2097,705,0,0,0,0,0,0,0,7756,4310,0,59818,42322,12627,5875,4324,801,503,0,0,4988,0
"bluntnose minnow",0,0,0,282,0,0,0,0,0,0,43,0,84,0,0,0,0,0,0,0,0,272,2023,0,0,0,0,0,0,22,70,0,0,3092,0
"bowfin",0,13681,4,0,0,0,0,0,0,0,27235,0,526,35,0,0,38,0,0,0,0,2482,4289,0,34877,2302,18719,0,367,242,0,1351,0,13275,0
"brook stickleback",0,0,0,0,0,0,0,0,0,0,971,0,245,59,0,0,0,0,0,0,0,0,0,0,0,294,1327,0,0,310,0,0,0,0,0
"brown bullhead",81211,28168,4192,3705,0,0,0,0,0,173,77275,343,591,141,3566,6497,2278,216,825,2,0,12100,2020,0,5331,539,326,1041,416,58,677,10086,15542,7945,0
"burbot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,878,0,0,0,534,4305,0,0,0,0,0,0,0,0,0,0,0,0
"cattle",0,0,1090,0,0,0,0,3732,1908,264,11,450,472,22,10,41,0,0,17,0,9114,0,0,0,4,0,0,0,0,2,0,0,62,0,0
"central mudminnow",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,21771,150,382,0,0,766,0,0,0,0,0
"chain pickerel",0,0,0,1791,0,0,0,0,2,1299,55708,375,0,582,2,1281,2157,5004,237,0,0,16170,12624,0,7004,11296,4448,12846,1720,86,269,1081,0,306,0
"channel catfish",0,526,0,0,0,0,0,0,9311,9554,319,375,69,0,981,291,0,7,281,0,25665,18,0,0,0,0,0,142,0,0,43,28,0,0,0
"common carp",225310,35315,292115,140747,9,0,13,5,619813,2179850,761345,619369,244581,83311,67515,18368,67909,34994,64915,21,502936,729985,1239543,181193,466870,183988,326431,399629,127510,27254,70120,82579,1759313,1212255,168
"common driftwood catfish",0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"creek chub",0,0,0,0,0,0,0,0,0,0,0,268,675,140,0,15,0,0,59,0,0,7896,0,0,0,0,0,0,0,51,0,0,0,0,0
"creek chubsucker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29036,817,0,0,0,86,381,0,31,0,0,0,0,0,0
"eastern silvery minnow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,122,41,0,0,0,0,0,0,0,0
"electric eel",0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"emerald shiner",4866,0,0,0,0,0,0,0,283431,381,10905,2580,1483,289,12974,9218,96,541,108,0,16,130914,2829,0,89,31,0,375,0,430,453,0,0,0,0
"European chub",10,10,20,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"fantail darter",0,0,0,0,0,0,0,0,0,6,0,0,0,1893,0,0,0,0,0,0,0,48386,0,0,0,0,0,0,0,134,0,0,0,0,0
"fathead minnow",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"freshwater drum",39420,15850,125511,3917,0,0,0,0,131735,52800,50732,827,2355,1340,19369,2883,1046,10175,3512,0,1740134,46566,111344,1223899,1244,8766,96,57004,296,904,18829,36395,448450,60029,24
"golden shiner",0,0,0,280,0,0,0,0,0,0,16337,212,516,93,0,0,57,0,33,0,0,3815,1744,0,1063,484,721,605,315,153,1267,0,0,0,0
"green sunfish",0,0,0,0,0,0,0,0,0,0,1604,6428,2449,74,0,0,0,0,0,0,0,787,1040,0,0,149,0,0,0,233,254,0,0,1544,0
"human",0,0,0,0,0,0,0,0,2276,0,0,0,14,0,744,0,0,7,0,0,62202,248,0,0,7,2,0,8,0,0,2,29,89,16,1511
"Hypophthalmus cf. edentatus JPS-2012",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypostomus aff. plecostomus TEP-2016",0,0,0,0,0,0,0,0,18,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lake sturgeon",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,12373,3,0,0,0,0,0,0,0,0,0,0,0,0
"largemouth bass",16396,0,0,11209,0,0,0,0,0,5161,70158,0,400,65,0,0,64,0,0,0,10,22505,6054,0,16853,4150,3328,4267,3033,148,2635,4303,5645,132760,13
"longnose dace",0,0,0,0,0,0,0,0,0,0,0,410,254,259,0,0,26,0,0,0,0,556,0,0,0,0,0,0,0,160,0,0,0,0,0
"marsh tit",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megaleporinus macrocephalus",0,0,0,0,0,0,0,0,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Mississippi silvery minnow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,0,0,0,0,0,0,0,0
"mudpuppy",0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO MATCH",38585,30481,21537,41025,0,0,2,0,32311,125362,4465,2778,2965,2018,18364,22455,7842,17990,5925,23,9469,348175,90334,5224,2756,477,178,3983,363,1668,1083,20042,71012,120469,35
"northern hog sucker",0,0,0,0,0,0,0,0,0,0,0,212,0,109,0,0,0,0,0,0,0,9394,0,0,0,0,0,0,0,114,0,0,0,0,0
"northern pike",0,0,0,0,0,0,0,0,0,0,8,0,108,0,0,132,0,0,0,0,4,146368,1667,0,256,0,15,0,0,1891,1210,0,0,0,0
"Percina ouachitae",0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,66,0,0,245,299,0
"Percopsis omiscomaycus",0,0,0,0,0,0,0,0,0,53060,6,0,0,0,0,2,1658,0,0,0,0,0,46904,0,0,0,3,0,0,0,0,0,1302,0,0
"pig",0,5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,134,0,0
"Pseudoplatystoma reticulatum",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudorinelepis genibarbis",0,0,0,4,0,0,0,0,0,0,0,0,0,9,15,16,0,0,0,0,0,0,3,0,0,7,6,8,0,0,0,0,0,0,0
"Pterodoras granulosus",0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,5,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0
"pumpkinseed sunfish",55125,71182,1023,2081,0,0,0,0,0,7545,51911,4736,1354,1554,5138,0,343,338,170,0,18,154203,64639,13472,86935,26139,25146,10932,14167,817,11691,14578,0,18819,0
"Pygocentrus piraya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"red-bellied piranha",0,0,0,0,0,0,0,0,17,15,8,10,0,3,8,0,0,0,0,0,0,14,16,0,0,0,4,0,0,0,0,0,0,0,2
"redtail catfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"river trout",0,0,0,0,0,0,0,0,0,0,0,907,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0
"rudd",0,0,0,0,0,0,0,0,0,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"saithe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0
"sea lamprey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"shortnose gar",458699,6,14,2532,0,0,0,0,0,8,17085,1446,1887,0,36742,760,0,0,1397,0,7,27990,227752,9,345,86,83,2242,87,0,94362,23684,0,191,0
"smallmouth bass",45132,7486,1127,8708,0,0,0,0,12805,33348,7340,4997,2414,1003,3394,2014,1653,1730,1688,0,0,60571,14630,13412,50,0,0,0,0,1310,4168,13689,11909,105922,0
"southern pike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0
"spotfin shiner",0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,32,0,83,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0
"spottail shiner",0,0,0,0,0,0,0,0,0,0,0,889,238,0,0,0,123,0,0,0,0,1651,1455,0,0,0,0,0,0,0,0,0,0,0,0
"tadpole madtom",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,7,0,0,0,0,0
"tessallated darter",0,0,0,0,0,0,0,0,0,1174,0,0,370,405,0,36,64,0,0,0,0,14483,626,0,0,0,23,0,0,671,0,0,0,0,0
"Tree swallow",0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"two-lined salamander",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0
"walleye",0,0,3301,5572,0,0,0,0,276794,52711,52300,75339,83438,2689,4483,6455,824,5546,3132,0,324474,528435,20741,31904,1156,195,99,17537,227,1574,7238,3057,9008,57880,0
"white perch",0,0,0,0,0,0,0,0,152678,5208,937,14424,74868,251,60,950,76,0,1307,0,43339,5,21,0,0,0,2,0,0,29,0,0,3582,349,0
"white sucker",0,0,0,0,0,0,0,0,30025,5626,867,2283,1761,762,0,0,87,44,98,0,0,34120,14249,4,192,0,12,0,25,1208,43,429,0,3739,0
"yellow bullhead",0,0,0,502,0,0,0,0,0,0,1104,0,0,57,0,0,0,0,19,0,0,3833,0,0,1643,212,222,0,0,0,0,0,0,383,0
"yellow perch",130952,20376,18617,105482,0,0,0,2,854169,144644,464217,16076,6670,795,8848,23782,20887,24415,22653,4,264953,89539,470604,15881,120515,47320,36383,42771,16636,1654,17892,33988,238978,1199693,67
