"Site","alewife","rock.bass","American.gizzard.shad","banded.killifish","blacknose.dace","blacknose.shiner","bluegill","bowfin","brook.silverside","brook.stickleback","brown.bullhead","burbot","central.mudminnow","chain.pickerel","channel.catfish","common.carp","Cottidae.sp.","creek.chub","creek.chubsucker","Cyprinidae.sp.","Cyprinus.sp.","emerald.shiner","fantail.darter","freshwater.drum","golden.shiner","greater.redhorse","green.sunfish","lake.sturgeon","largemouth.bass","Lepisosteus.sp.","logperch","longnose.dace","Luxilus.sp.","northern.hogsucker","northern.pike","Notropis.sp.","Percina.sp.","trout.perch","pumpkinseed","round.goby","smallmouth.bass","spottail.shiner","tessellated.darter","walleye","white.perch","white.sucker","yellow.bullhead","yellow.perch"
"X23Y",0,2.64302663996558,0,5.19954102206108,0,0,0,0,0,0,6.60879211458471,0,0,0,0,19.3310868590331,0,0,0,0,0,0.423755739493708,0,3.55907616165174,0,0,0,0,1.48841026236907,39.2703013313628,0,0,0,0,0,0,0,0,4.57225906835467,3.25414995579069,3.75025645029222,0,0,0,0,0,0,9.89934439504057
"X24Y",0,1.32007410942369,23.1265614911714,0,0,0,0,4.65359458776633,1.783959801252,0,9.54685175308087,0,0,0,0.184571765432445,11.9736546613143,0,0,0,0,0,0,0,5.48136035707268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7132610953597,8.77101872385818,2.57909215955983,0,0,0,0,0,0,6.86599949470847
"X25Y",0,0,13.9043595502416,0.391837665217461,0,0,0,0,0,0,0.695689963790638,0,0,0,0,49.3252377296926,0,0,0,0.420691166019838,0,0,0,19.7731972350509,0,3.8359126344493,0,0,0,0,3.9826736508762,0,0,0,0,0,0,0,0.167955871954575,3.61060597694926,0.200727749409127,0,0,0.587934605855836,0,0,0,3.10317620049265
"X26Y",0,2.25893520279695,4.19965098515177,0.350222512061543,0,0,0,0,0,0,1.09142619060558,0,0,0.513559045704038,0,39.7846735382739,0,0,0,0.290443152244141,0,0,0,1.17898181862097,0,0,0,0,3.28786478995707,0.730032788073112,0.911786195194706,0,0,0,0,0,0,0,0.62828711000006,11.6732786261616,2.60583663931308,0,0,1.6822757217301,0,0,0,28.8127456841114
"X1G",0,0,13.800905927148,0,0,0,0,0,0,0,0,0,0,0,0.389741781376858,21.7166437875983,0,0,0,0,0.401454185190316,10.5037593038046,0,4.68063759135885,0,0,0,0,0,0,0.907480405862079,0,0,0,0,0,0,0,0,0.784227296197877,0.521432859379788,0,0,9.77381207259172,5.31302343740161,1.13732058822295,0,30.069560763867
"X2G",0,1.22810948180276,7.00889645953285,0,0,0,0,0,0,0,0,0,0,0,0.334389959868202,73.6705604980331,0,0,0,0.673318018144532,0,0,0,1.72915842573009,0,0.379628011716155,0,0,0.175020519708747,0,1.21074321545355,0,0,0,0,0,0,1.77014424363657,0.269105662296156,3.94357178360489,1.13245208464876,0,0,1.73219573568828,0.161977953417671,0.201034186174237,0,4.37969376054349
"X3G",0,0.412093147862376,17.0490471434997,2.56316710573173,0,0,0.802078761629598,1.4294208806204,0,0,3.83418696003982,0,0,2.85100066540411,0,35.914397014285,0,0,0,0.267686299536395,0,0.377733901522371,0,2.4762071748205,0.811989035534322,0,0,0,3.55452120853068,0.87226745977899,0,0,0,0,0,0,0,0,2.58625477680647,0,0.389495545277428,0,0,2.61113936567713,0,0,0,21.1973135534431
"X4G",0,1.47599683367959,28.2193067434814,0,0,0,0,0,0,0,0,0,0,0,0,57.398130499267,0,0,0,0.486188308428566,0,0,0,0,0,0.166127039557096,0.506192137733033,0,0,0.137740653210757,0.653744192935981,0,0,0,0,0,0,0,0.421414004014102,0.110402086494653,0.438369630757888,0,0,6.93066005968762,1.3511157850217,0.196037527183775,0,1.50857449854686
"X5G",0,0.662404980256473,34.1611251881102,0,0,0,0.282326006148147,0,0,0,0,0,0,0,0,36.5927302661196,0,0,0,0.265444325826077,0,0.139394446087952,0,0.378631972937863,0,0.119457985517126,0.389082536946763,0,0,0.303387912073778,1.1485973735321,0,0,0,0,0,0,0,0.195184380104699,0.217371731385134,0.388117869499788,0,0,12.5064311163132,11.0025145664784,0.216407063938158,0,1.03139027872458
"X6G",0,1.45898138951175,40.1425079253677,0,0,0,0.409799501579126,0,0,0,0,0,0,0.346158650100219,0,49.3960066852633,0,0,0,0.309877417014114,0,0.149883126847518,1.12590777429504,0.796997579268547,0,0.191517328749606,0,0,0,0,0.553734885297774,0,0,0,0,0.857664559183018,0,0,0.911194247342846,0,0.582284052316349,0,0.240883596719225,1.48931487946899,0.149288352534631,0.415152470395109,0,0.472845578745145
