"","X23Y","X24Y","X25Y","X26Y","X1G","X2G","X3G","X4G","X5G","X6G","X7G","X8G","X9G","X10G","X11G","X13G","X14G","X15G","X16G","X17G","X18G","X19G","X20G","X21G","X22G","X23G","X24G","X25G","X26G"
"alewife",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10685,0,0,0,0,0,0,0,0,0,0,0,0
"Ambloplites rupestris",29115,3762,0,7482,0,34369,7568,15495,4120,2453,588,0,512,1801,212,0,91327,52388,0,14462,0,0,834,0,5347,4556,1338,4928,58589
"American gizzard shad",0,65907,78067,13910,328750,196146,313102,296246,212474,67492,66786,50383,2218,26262,2225,242427,28158,68977,9519,8744,3031,680,4220,1209,14086,8876,90060,234324,47434
"Amur carp",0,0,669,0,0,3068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,688,0,0,0,0,0,0
"banded killifish",57277,0,2200,1160,0,0,47072,0,0,0,1784,0,515,0,0,65876,5958,13087,0,0,0,0,1516,0,0,4114,1975,15368,9272
"blacknose dace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3036,0,0,0,0,0,0,0,0,0,0,0,0
"blacknose shiner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6033,0,0,0,0,0,0,0,0,0,0,0,0
"blacktip jumprock",0,0,21537,0,0,10624,0,1744,743,322,3195,0,0,2013,0,0,0,0,0,0,0,0,0,0,208,0,0,165879,0
"bluegill",0,0,0,0,0,0,14730,0,1756,689,0,0,0,0,0,0,5239,2661,0,56749,40635,12571,5314,4324,759,267,0,0,0
"bowfin",0,13262,0,0,0,0,26251,0,0,0,0,0,0,0,0,0,0,4193,0,32969,2302,18681,0,367,242,0,1351,0,12895
"brook stickleback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,0,0,310,0,0,0,0
"brown bullhead",72801,27207,3906,3615,0,0,70414,0,0,0,3514,6411,2278,216,825,0,11848,0,0,5189,539,0,1041,416,0,677,9474,13772,7190
"burbot",0,0,0,0,0,0,0,0,0,0,0,0,0,878,0,0,0,4169,0,0,0,0,0,0,0,0,0,0,0
"central mudminnow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20155,0,0,0,0,766,0,0,0,0
